"Path","Methods","Mutation","RateLimit","BodyLimit","Audit","AuthGuard","Idempotency"
"D:\VidyaPath\app\api\adaptive-test\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\admin\analytics\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\admin\announcements\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\class-sections\[id]\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\class-sections\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\events\route.ts","GET,POST,DELETE","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\import\roster\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\overview\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\admin\session\bootstrap\route.ts","POST","True","True","True","True","False","False"
"D:\VidyaPath\app\api\admin\session\logout\route.ts","POST","True","False","False","False","False","False"
"D:\VidyaPath\app\api\admin\session\me\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\admin\settings\route.ts","GET,PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\students\[id]\grades\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\admin\students\[id]\parent\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\admin\students\[id]\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\students\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\class-teacher-tag\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\reset-pin\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\scopes\[scopeId]\route.ts","DELETE","True","False","False","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\scopes\route.ts","POST","True","False","True","True","True","False"
